name,fuel,seller_type,gear_box,owner,torque,production_year,km_driven,mileage,engine,max_power,seats
Maruti Zen,Petrol,Individual,Manual,Second Owner,78Nm@ 4500rpm,0.5945945945945965,0.04236427198812433,0.4119047619047619,0.12382550335570472,0.15,0.24999999999999997
Maruti Swift,Diesel,Individual,Manual,Second Owner,190Nm@ 2000rpm,0.7027027027027017,0.0593101502421566,0.4595238095238095,0.2093959731543624,0.18475000000000003,0.24999999999999997
Maruti Swift,Petrol,Individual,Manual,Second Owner,190Nm@ 2000rpm,0.6486486486486527,0.033891332861108195,0.46345975276088397,0.27076890493535344,0.21931729724702384,0.2862210975488737
Maruti Wagon,Petrol,Individual,Manual,Second Owner,84Nm@ 3500rpm,0.7027027027027017,0.03812780242461626,0.44999999999999996,0.14664429530201342,0.1675,0.24999999999999997
Mahindra KUV,Petrol,Individual,Manual,First Owner,115Nm@ 3500-3600rpm,0.8918918918918948,0.01694545460707592,0.4321428571428571,0.19261744966442954,0.20500000000000002,0.24999999999999997
Maruti Ertiga,Diesel,Individual,Manual,Second Owner,200Nm@ 1750rpm,0.8918918918918948,0.02965486329760012,0.5838095238095238,0.2093959731543624,0.22125,0.41666666666666663
Hyundai i20,Diesel,Individual,Manual,Second Owner,22.4 kgm at 1750-2750rpm,0.7837837837837824,0.022452865039636408,0.5476190476190476,0.25906040268456376,0.225,0.24999999999999997
Maruti Alto,Petrol,Individual,Manual,Second Owner,62Nm@ 3000rpm,0.5135135135135158,0.033891332861108195,0.469047619047619,0.057718120805369116,0.11574999999999999,0.24999999999999997
Hyundai i20,Diesel,Individual,Manual,First Owner,219.7Nm@ 1500-2750rpm,0.8918918918918948,0.04236427198812433,0.5366666666666666,0.25906040268456376,0.22182500000000002,0.24999999999999997
Mahindra Verito,Diesel,Individual,Manual,Second Owner,160Nm@ 2000rpm,0.7567567567567579,0.04236427198812433,0.5,0.2808724832214765,0.16024999999999998,0.24999999999999997
Honda WR-V,Diesel,Individual,Manual,First Owner,200Nm@ 1750rpm,0.9189189189189193,0.021181924170583986,0.6071428571428571,0.2932885906040268,0.2465,0.24999999999999997
Maruti Swift,Diesel,Individual,Manual,First Owner,190Nm@ 2000rpm,0.8648648648648631,0.01694545460707592,0.633095238095238,0.2093959731543624,0.185,0.24999999999999997
Maruti SX4,Diesel,Individual,Manual,First Owner,200Nm@ 1750rpm,0.7837837837837824,0.030502157210301736,0.5119047619047619,0.2093959731543624,0.222,0.24999999999999997
Tata Tigor,Petrol,Individual,Manual,First Owner,114Nm@ 3500rpm,0.9459459459459438,0.014827219825321886,0.48333333333333334,0.1929530201342282,0.20952500000000002,0.24999999999999997
Maruti Baleno,Petrol,Individual,Manual,First Owner,115Nm@ 4000rpm,0.8918918918918948,0.019063689388829953,0.5095238095238095,0.19228187919463088,0.20775,0.24999999999999997
Maruti Alto,Petrol,Individual,Manual,First Owner,69Nm@ 3500rpm,0.9189189189189193,0.011861691130866239,0.588095238095238,0.057718120805369116,0.11825,0.24999999999999997
Chevrolet Enjoy,Diesel,Individual,Manual,First Owner,172.5Nm@ 1750rpm,0.8108108108108141,0.02965486329760012,0.4333333333333333,0.2093959731543624,0.1845,0.41666666666666663
Maruti Wagon,Petrol,Individual,Manual,First Owner,84Nm@ 3500rpm,0.7027027027027017,0.05083721111514047,0.44999999999999996,0.14664429530201342,0.1675,0.24999999999999997
Maruti Omni,Petrol,Individual,Manual,First Owner,59Nm@ 2500rpm,0.9459459459459438,0.010590750261813818,0.4,0.057718120805369116,0.0855,0.5
Maruti Vitara,Diesel,Individual,Manual,First Owner,200Nm@ 1750rpm,0.9189189189189193,0.02965486329760012,0.5785714285714285,0.2093959731543624,0.22125,0.24999999999999997
Fiat Palio,Petrol,Individual,Manual,Second Owner,190Nm@ 2000rpm,0.5405405405405403,0.021181924170583986,0.46345975276088397,0.27076890493535344,0.21931729724702384,0.2862210975488737
Maruti Omni,Petrol,Individual,Manual,Second Owner,6.1kgm@ 3000rpm,0.7837837837837824,0.014827219825321886,0.3333333333333333,0.057718120805369116,0.08750000000000001,0.24999999999999997
Hyundai i20,Petrol,Individual,Manual,First Owner,114.7Nm@ 4000rpm,0.9459459459459438,0.0010112452848093758,0.4428571428571429,0.19228187919463088,0.204575,0.24999999999999997
Maruti Vitara,Diesel,Individual,Manual,First Owner,200Nm@ 1750rpm,0.9189189189189193,0.006862657045926719,0.5785714285714285,0.2093959731543624,0.22125,0.24999999999999997
Maruti Alto,CNG,Individual,Manual,Second Owner,60Nm@ 3500rpm,0.9729729729729755,0.004236045916551717,0.7961904761904761,0.057718120805369116,0.10074999999999999,0.16666666666666666
Maruti Alto,Petrol,Individual,Manual,First Owner,90Nm@ 3500rpm,0.9729729729729755,0.006354280698305751,0.5702380952380952,0.12550335570469798,0.16774999999999998,0.24999999999999997
Hyundai Verna,Petrol,Individual,Manual,First Owner,151Nm@ 4850rpm,0.9729729729729755,0.0021178111347976833,0.40476190476190477,0.324496644295302,0.30325,0.24999999999999997
Datsun GO,Petrol,Individual,Manual,First Owner,104Nm@ 4000rpm,0.8918918918918948,0.01779274851977753,0.4911904761904761,0.19261744966442954,0.1675,0.24999999999999997
Tata Safari,Diesel,Individual,Manual,Second Owner,320Nm@ 1700-2700rpm,0.7567567567567579,0.025418393734092055,0.33166666666666667,0.5218120805369127,0.345075,0.41666666666666663
Maruti 800,Petrol,Individual,Manual,First Owner,59Nm@ 2500rpm,0.7837837837837824,0.032196745035704966,0.38333333333333336,0.057718120805369116,0.0925,0.16666666666666666
Jeep Compass,Petrol,Individual,Automatic,First Owner,250Nm@ 1750-2500rpm,0.9729729729729755,0.0021178111347976833,0.38095238095238093,0.24966442953020132,0.40192500000000003,0.24999999999999997
Honda City,Petrol,Dealer,Manual,First Owner,145Nm@ 4600rpm,0.9459459459459438,0.012242973391581966,0.4238095238095238,0.2929530201342282,0.29325,0.24999999999999997
Honda City,Petrol,Dealer,Manual,First Owner,146Nm@ 4800rpm,0.8108108108108141,0.03656030868611827,0.4,0.2929530201342282,0.29075,0.24999999999999997
Maruti Swift,Petrol,Dealer,Automatic,First Owner,115Nm@ 4000rpm,0.9459459459459438,0.009870550436017447,0.44047619047619047,0.19228187919463088,0.20785,0.24999999999999997
Maruti Vitara,Diesel,Dealer,Manual,First Owner,200Nm@ 1750rpm,0.9459459459459438,0.01381046713007995,0.5785714285714285,0.2093959731543624,0.22125,0.24999999999999997
Maruti Alto,Petrol,Dealer,Manual,First Owner,90Nm@ 3500rpm,0.9459459459459438,0.004363140003456959,0.5702380952380952,0.12550335570469798,0.167625,0.24999999999999997
Toyota Fortuner,Diesel,Dealer,Manual,First Owner,343Nm@ 1400-3400rpm,0.8378378378378386,0.03262039199205577,0.2988095238095238,0.7912751677852348,0.42125,0.41666666666666663
Toyota Innova,Diesel,Dealer,Manual,First Owner,200Nm@ 1400-3400rpm,0.8108108108108141,0.041940625031773524,0.3092857142857143,0.6275167785234899,0.25,0.41666666666666663
Mercedes-Benz B,Diesel,Dealer,Automatic,Second Owner,200Nm@ 1250-4000rpm,0.8378378378378386,0.011776961739596078,0.3523809523809524,0.5097315436241611,0.30175,0.24999999999999997
Honda Amaze,Diesel,Dealer,Manual,First Owner,200Nm@ 1750rpm,0.8648648648648631,0.021097194779313825,0.588095238095238,0.2932885906040268,0.246575,0.24999999999999997
Mitsubishi Pajero,Diesel,Dealer,Manual,First Owner,400Nm@ 2000-2500rpm,0.8108108108108141,0.06397026676201548,0.3214285714285714,0.6218120805369127,0.4389,0.41666666666666663
Honda City,Diesel,Dealer,Manual,First Owner,200Nm@ 1750rpm,0.8648648648648631,0.023173064865432778,0.6190476190476191,0.2932885906040268,0.2465,0.24999999999999997
Maruti Ciaz,Petrol,Dealer,Manual,First Owner,138Nm@ 4400rpm,0.9459459459459438,0.02711298155949528,0.4916666666666666,0.2812080536912751,0.258125,0.24999999999999997
Honda Jazz,Diesel,Dealer,Manual,First Owner,200Nm@ 1750rpm,0.8648648648648631,0.026689334603144474,0.65,0.2932885906040268,0.2465,0.24999999999999997
Toyota Innova,Diesel,Dealer,Automatic,Second Owner,360Nm@ 1200-3400rpm,0.8918918918918948,0.05409929267904168,0.2704761904761904,0.7151006711409396,0.42875,0.41666666666666663
Toyota Innova,Diesel,Dealer,Manual,First Owner,200Nm@ 1200-3600rpm,0.8918918918918948,0.041940625031773524,0.3092857142857143,0.6275167785234899,0.2515,0.41666666666666663
Audi A6,Diesel,Dealer,Automatic,Second Owner,380Nm@ 1750-2500rpm,0.8108108108108141,0.014361208173335999,0.4209523809523809,0.45100671140939597,0.435825,0.24999999999999997
Toyota Corolla,Petrol,Dealer,Automatic,First Owner,173Nm@ 4000rpm,0.9459459459459438,0.010590750261813818,0.33999999999999997,0.39395973154362407,0.345075,0.24999999999999997
Audi A6,Diesel,Dealer,Automatic,First Owner,400Nm@ 1750-3000rpm,0.8108108108108141,0.021181924170583986,0.4411904761904762,0.45100671140939597,0.46935000000000004,0.24999999999999997
Mercedes-Benz New,Diesel,Dealer,Automatic,First Owner,400Nm@ 1400-2800rpm,0.8108108108108141,0.024994746777741248,0.35333333333333333,0.5097315436241611,0.425,0.24999999999999997
Tata Manza,Diesel,Individual,Manual,First Owner,200Nm@ 1750-3000rpm,0.7567567567567579,0.05083721111514047,0.5028571428571429,0.2093959731543624,0.222,0.24999999999999997
Hyundai i10,Petrol,Individual,Manual,Third Owner,111.7Nm@ 4000rpm,0.7567567567567579,0.046600741551632394,0.4847619047619047,0.19228187919463088,0.19725,0.24999999999999997
Hyundai i20,Diesel,Individual,Manual,First Owner,219.6Nm@ 1500-2750rpm,0.8108108108108141,0.025418393734092055,0.5064285714285713,0.25906040268456376,0.22190000000000001,0.24999999999999997
Maruti Swift,Diesel,Individual,Manual,Second Owner,190Nm@ 2000rpm,0.8648648648648631,0.06227567893661225,0.633095238095238,0.2093959731543624,0.185,0.24999999999999997
Ford Figo,Petrol,Individual,Manual,Third Owner,112Nm@ 4000rpm,0.9189189189189193,0.010590750261813818,0.43238095238095237,0.19194630872483223,0.217,0.24999999999999997
Maruti Baleno,Petrol,Individual,Manual,First Owner,115Nm@ 4000rpm,0.9729729729729755,0.012708985043567853,0.5095238095238095,0.19228187919463088,0.20775,0.24999999999999997
Volkswagen Ameo,Diesel,Individual,Manual,First Owner,250Nm@ 1500-3000rpm,0.8918918918918948,0.01694545460707592,0.5238095238095237,0.2932885906040268,0.2712375,0.24999999999999997
Honda City,Diesel,Individual,Manual,First Owner,200Nm@ 1750rpm,0.8648648648648631,0.057191915460402566,0.5976190476190476,0.2932885906040268,0.2465,0.24999999999999997
Maruti Wagon,Petrol,Individual,Automatic,First Owner,90Nm@ 3500rpm,0.9459459459459438,0.012708985043567853,0.48833333333333334,0.12550335570469798,0.1675,0.24999999999999997
Volkswagen Ameo,Diesel,Individual,Manual,First Owner,250Nm@ 1500-3000rpm,0.9189189189189193,0.033891332861108195,0.5157142857142857,0.2932885906040268,0.27155,0.24999999999999997
Maruti Vitara,Diesel,Individual,Manual,First Owner,200Nm@ 1750rpm,0.8918918918918948,0.02965486329760012,0.5785714285714285,0.2093959731543624,0.22125,0.24999999999999997
Maruti Vitara,Diesel,Individual,Automatic,First Owner,200Nm@ 1750rpm,0.9729729729729755,0.004172498873099096,0.5785714285714285,0.2093959731543624,0.22125,0.24999999999999997
Hyundai i10,Petrol,Individual,Manual,Second Owner,111.7Nm@ 4000rpm,0.7567567567567579,0.025418393734092055,0.4847619047619047,0.19228187919463088,0.19725,0.24999999999999997
Maruti Swift,Diesel,Individual,Manual,First Owner,190Nm@ 2000rpm,0.8918918918918948,0.02965486329760012,0.6,0.2093959731543624,0.185,0.24999999999999997
Toyota Fortuner,Diesel,Individual,Manual,Second Owner,343Nm@ 1400-3400rpm,0.8648648648648631,0.03304403894840658,0.2988095238095238,0.7912751677852348,0.42125,0.41666666666666663
Maruti Swift,Diesel,Individual,Manual,Second Owner,190Nm@ 2000rpm,0.8108108108108141,0.05083721111514047,0.5452380952380952,0.2093959731543624,0.185,0.24999999999999997
Maruti Ertiga,Petrol,Individual,Manual,Second Owner,130Nm@ 4000rpm,0.7837837837837824,0.05083721111514047,0.3814285714285714,0.2513422818791946,0.23425,0.41666666666666663
Tata Indica,Diesel,Individual,Manual,First Owner,190Nm@ 2000rpm,0.5405405405405403,0.02965486329760012,0.46345975276088397,0.27076890493535344,0.21931729724702384,0.2862210975488737
Volkswagen Vento,Diesel,Individual,Manual,First Owner,250Nm@ 1500-2500rpm,0.8108108108108141,0.0720195589326808,0.489047619047619,0.3268456375838926,0.259,0.24999999999999997
Toyota Innova,Diesel,Individual,Manual,First Owner,200Nm@ 1200-3600rpm,0.8918918918918948,0.0593101502421566,0.3092857142857143,0.6275167785234899,0.2515,0.5
Ford EcoSport,Diesel,Individual,Manual,First Owner,205Nm@ 1750-3250rpm,0.8648648648648631,0.03812780242461626,0.5421428571428571,0.2932885906040268,0.24647500000000003,0.24999999999999997
BMW X1,Petrol,Individual,Automatic,Second Owner,280Nm@ 1350-4600rpm,0.8918918918918948,0.012708985043567853,0.3740476190476191,0.4610738255033556,0.47250000000000003,0.24999999999999997
Maruti Celerio,Petrol,Dealer,Manual,First Owner,90Nm@ 3500rpm,0.9189189189189193,0.004236045916551717,0.55,0.12550335570469798,0.16760000000000003,0.24999999999999997
Datsun GO,Petrol,Dealer,Manual,First Owner,104Nm@ 4000rpm,0.8918918918918948,0.02075827721423318,0.45285714285714285,0.19261744966442954,0.167625,0.24999999999999997
Maruti Alto,Petrol,Dealer,Manual,First Owner,69Nm@ 3500rpm,0.8918918918918948,0.013556278956269466,0.588095238095238,0.057718120805369116,0.11825,0.24999999999999997
Maruti Alto,Petrol,Dealer,Manual,First Owner,69Nm@ 3500rpm,0.8918918918918948,0.016098160694374305,0.588095238095238,0.057718120805369116,0.11825,0.24999999999999997
Maruti Swift,Diesel,Dealer,Manual,First Owner,190Nm@ 2000rpm,0.8648648648648631,0.03304403894840658,0.46345975276088397,0.27076890493535344,0.21931729724702384,0.2862210975488737
Hyundai i10,Petrol,Dealer,Manual,First Owner,99.04Nm@ 4500rpm,0.7837837837837824,0.011861691130866239,0.4716666666666666,0.15503355704697988,0.170125,0.24999999999999997
Maruti Omni,Petrol,Dealer,Manual,First Owner,6.1kgm@ 3000rpm,0.9189189189189193,0.013556278956269466,0.3333333333333333,0.057718120805369116,0.08750000000000001,0.24999999999999997
Maruti Wagon,LPG,Dealer,Manual,First Owner,77Nm@ 3500rpm,0.7297297297297334,0.018640042432479145,0.6238095238095237,0.12550335570469798,0.14550000000000002,0.24999999999999997
Volkswagen Polo,Petrol,Dealer,Manual,First Owner,110Nm@ 3750rpm,0.8648648648648631,0.01779274851977753,0.39214285714285707,0.19261744966442954,0.185,0.24999999999999997
Hyundai i10,Petrol,Dealer,Manual,Second Owner,99.04Nm@ 4500rpm,0.8648648648648631,0.019063689388829953,0.4716666666666666,0.15503355704697988,0.170125,0.24999999999999997
Volkswagen Vento,Petrol,Dealer,Manual,Second Owner,153Nm@ 3800rpm,0.7837837837837824,0.00508333982925333,0.3580952380952381,0.3268456375838926,0.259,0.24999999999999997
Maruti Zen,Petrol,Dealer,Manual,First Owner,90Nm@ 3500rpm,0.7027027027027017,0.023511982430513424,0.4333333333333333,0.12550335570469798,0.16774999999999998,0.24999999999999997
Hyundai i20,Petrol,Dealer,Manual,First Owner,113.7Nm@ 4000rpm,0.8108108108108141,0.026053864168618265,0.44047619047619047,0.19228187919463088,0.207125,0.24999999999999997
Maruti Swift,Diesel,Individual,Manual,First Owner,190Nm@ 2000rpm,0.8918918918918948,0.06354661980566467,0.633095238095238,0.2093959731543624,0.185,0.24999999999999997
Hyundai Xcent,Petrol,Dealer,Automatic,First Owner,114Nm@ 4000rpm,0.8918918918918948,0.030502157210301736,0.45476190476190476,0.19228187919463088,0.20500000000000002,0.24999999999999997
Maruti Alto,Petrol,Dealer,Manual,Third Owner,62Nm@ 3000rpm,0.6756756756756772,0.028807569384898507,0.469047619047619,0.057718120805369116,0.11574999999999999,0.24999999999999997
Hyundai i20,Diesel,Individual,Manual,First Owner,219.7Nm@ 1500-2750rpm,0.9189189189189193,0.046600741551632394,0.5366666666666666,0.25906040268456376,0.22182500000000002,0.24999999999999997
Maruti Wagon,Petrol,Dealer,Manual,Second Owner,90Nm@ 3500rpm,0.7027027027027017,0.03262039199205577,0.5188095238095237,0.12550335570469798,0.167625,0.24999999999999997
Tata Manza,Diesel,Individual,Manual,Second Owner,200Nm@ 1750-3000rpm,0.7297297297297334,0.04236427198812433,0.44761904761904764,0.2093959731543624,0.225,0.24999999999999997
Maruti Swift,Petrol,Individual,Manual,First Owner,113Nm@ 4200rpm,0.9729729729729755,0.004236045916551717,0.505,0.19228187919463088,0.2045,0.24999999999999997
Maruti Eeco,Petrol,Individual,Manual,Third Owner,101Nm@ 3000rpm,0.8918918918918948,0.04236427198812433,0.3659523809523809,0.19194630872483223,0.1825,0.41666666666666663
Maruti Baleno,Petrol,Individual,Manual,First Owner,115Nm@ 4000rpm,0.9459459459459438,0.014827219825321886,0.5095238095238095,0.19228187919463088,0.20775,0.24999999999999997
Mahindra Scorpio,Diesel,Individual,Automatic,Second Owner,290Nm@ 1800-2800rpm,0.8378378378378386,0.02965486329760012,0.2807142857142857,0.5218120805369127,0.3,0.5
Ford Freestyle,Petrol,Individual,Manual,Second Owner,120Nm@ 4250rpm,1.0,0.0021178111347976833,0.45238095238095233,0.19127516778523487,0.23670000000000002,0.24999999999999997
Hyundai Verna,Petrol,Individual,Manual,First Owner,151Nm@ 4850rpm,0.9189189189189193,0.016013431303104144,0.40476190476190477,0.324496644295302,0.30325,0.24999999999999997
Volkswagen Passat,Petrol,Individual,Manual,First Owner,250Nm@ 1500~4500rpm,0.7297297297297334,0.04829532937703562,0.3404761904761905,0.39395973154362407,0.4,0.24999999999999997
Tata Indica,Petrol,Individual,Manual,First Owner,96 Nm at 3000 rpm,0.7297297297297334,0.02033463025788237,0.3761904761904762,0.18389261744966443,0.1625,0.24999999999999997
Mahindra XUV500,Diesel,Individual,Manual,First Owner,360Nm@ 1750-2800rpm,0.9729729729729755,0.013556278956269466,0.35952380952380947,0.5218120805369127,0.3875,0.41666666666666663
Tata Indigo,Diesel,Individual,Manual,First Owner,135Nm@ 2500rpm,0.8918918918918948,0.04236427198812433,0.4545238095238095,0.2620805369127517,0.172525,0.24999999999999997
Hyundai Verna,Diesel,Individual,Manual,Second Owner,259.8Nm@ 1900-2750rpm,0.8108108108108141,0.06354661980566467,0.5314285714285714,0.3214765100671141,0.31579999999999997,0.24999999999999997
Hyundai i20,Diesel,Individual,Manual,First Owner,219.6Nm@ 1500-2750rpm,0.8108108108108141,0.029231216341249314,0.5214285714285714,0.25906040268456376,0.22190000000000001,0.24999999999999997
Toyota Corolla,Petrol,Individual,Manual,Second Owner,173Nm@ 4000rpm,0.7027027027027017,0.04236427198812433,0.3459523809523809,0.39395973154362407,0.34525,0.24999999999999997
Maruti Celerio,Petrol,Individual,Manual,First Owner,90Nm@ 3500rpm,1.0,0.0055069867856041375,0.5149999999999999,0.12550335570469798,0.16760000000000003,0.24999999999999997
Maruti Vitara,Diesel,Individual,Manual,First Owner,200Nm@ 1750rpm,0.8918918918918948,0.025418393734092055,0.5785714285714285,0.2093959731543624,0.22125,0.24999999999999997
Maruti Swift,Petrol,Individual,Manual,First Owner,115Nm@ 4000rpm,0.9189189189189193,0.01694545460707592,0.49642857142857144,0.19228187919463088,0.20785,0.24999999999999997
Maruti Wagon,Petrol,Individual,Manual,First Owner,90Nm@ 3500rpm,0.9189189189189193,0.014827219825321886,0.48833333333333334,0.12550335570469798,0.16760000000000003,0.24999999999999997
Maruti Swift,Diesel,Individual,Manual,Second Owner,190Nm@ 2000rpm,0.7297297297297334,0.05083721111514047,0.46345975276088397,0.27076890493535344,0.21931729724702384,0.2862210975488737
Nissan Terrano,Diesel,Individual,Manual,Third Owner,200Nm@ 1900rpm,0.8378378378378386,0.02965486329760012,0.48690476190476184,0.2808724832214765,0.2095,0.24999999999999997
Hyundai Creta,Diesel,Individual,Manual,First Owner,259.9Nm@ 1900-2750rpm,0.8918918918918948,0.021181924170583986,0.4683333333333333,0.3214765100671141,0.3155,0.24999999999999997
Ford EcoSport,Diesel,Individual,Manual,First Owner,205Nm@ 1750-3250rpm,0.9189189189189193,0.032255631962637726,0.5476190476190476,0.2932885906040268,0.24739999999999998,0.24999999999999997
Maruti Swift,Diesel,Individual,Manual,Fourth & Above Owner,190Nm@ 2000rpm,0.7837837837837824,0.07413779371443484,0.4595238095238095,0.2093959731543624,0.18475000000000003,0.24999999999999997
Renault KWID,Petrol,Individual,Manual,First Owner,91Nm@ 4250rpm,0.9459459459459438,0.010590750261813818,0.5478571428571428,0.12583892617449663,0.1675,0.24999999999999997
Maruti Celerio,Petrol,Individual,Manual,Second Owner,90Nm@ 3500rpm,0.8648648648648631,0.01694545460707592,0.55,0.12550335570469798,0.16760000000000003,0.24999999999999997
Maruti Alto,Petrol,Individual,Manual,Fourth & Above Owner,62Nm@ 3000rpm,0.6756756756756772,0.02753662851584609,0.469047619047619,0.057718120805369116,0.11574999999999999,0.24999999999999997
Maruti Ertiga,Diesel,Individual,Manual,Second Owner,200Nm@ 1750rpm,0.8108108108108141,0.03812780242461626,0.4945238095238095,0.2093959731543624,0.22190000000000001,0.41666666666666663
Hyundai Santro,Petrol,Individual,Manual,Second Owner,96.1Nm@ 3000rpm,0.7027027027027017,0.033891332861108195,0.4266666666666667,0.15503355704697988,0.15525,0.24999999999999997
Maruti Ertiga,Diesel,Individual,Manual,Second Owner,200Nm@ 1750rpm,0.8648648648648631,0.046600741551632394,0.4945238095238095,0.2093959731543624,0.22190000000000001,0.41666666666666663
Honda Amaze,Petrol,Dealer,Manual,First Owner,109Nm@ 4500rpm,0.9729729729729755,0.0005515883371687504,0.4238095238095238,0.19261744966442954,0.21675,0.24999999999999997
Audi Q5,Diesel,Dealer,Automatic,First Owner,400nm@ 1750-3000rpm,0.9459459459459438,0.013471549564999305,0.405,0.45100671140939597,0.47000000000000003,0.24999999999999997
Lexus ES,Petrol,Dealer,Automatic,First Owner,202Nm@ 3600-5200rpm,0.9729729729729755,0.008472515480059785,0.5326190476190477,0.6251677852348992,0.5364,0.24999999999999997
Jaguar XF,Diesel,Dealer,Automatic,First Owner,430Nm@ 1750-2500rpm,0.9189189189189193,0.019063689388829953,0.46023809523809517,0.46140939597315433,0.4425,0.24999999999999997
Jeep Wrangler,Petrol,Individual,Automatic,First Owner,347Nm@ 4300rpm,0.9189189189189193,0.007201574611007364,0.22619047619047616,1.0,0.7000000000000001,0.24999999999999997
Land Rover,Diesel,Dealer,Automatic,First Owner,382nm@ 1750-2250rpm,0.9729729729729755,0.00889616243641059,0.30547619047619046,0.46140939597315433,0.370775,0.41666666666666663
Mercedes-Benz S-Class,Diesel,Dealer,Automatic,First Owner,620Nm@ 1600-2400rpm,0.9189189189189193,0.015674513738023498,0.3214285714285714,0.7929530201342281,0.636975,0.24999999999999997
BMW 5,Diesel,Dealer,Automatic,First Owner,400Nm@ 1750-2500rpm,0.9459459459459438,0.01249716156539245,0.5352380952380952,0.46006711409395973,0.46935000000000004,0.24999999999999997
BMW X1,Diesel,Dealer,Automatic,First Owner,190Nm@ 2000rpm,0.9189189189189193,0.011438044174515433,0.46345975276088397,0.27076890493535344,0.21931729724702384,0.2862210975488737
BMW X4,Diesel,Dealer,Automatic,First Owner,400Nm@ 1750-2500rpm,0.9729729729729755,0.0031769285256747003,0.3995238095238095,0.46006711409395973,0.47500000000000003,0.24999999999999997
Skoda Superb,Petrol,Dealer,Automatic,First Owner,250@ 1250-5000rpm,0.9459459459459438,0.021181924170583986,0.34928571428571425,0.39395973154362407,0.44365000000000004,0.24999999999999997
Mercedes-Benz E-Class,Diesel,Dealer,Automatic,First Owner,500Nm@ 1600-1800rpm,0.8918918918918948,0.014827219825321886,0.3571428571428571,0.5097315436241611,0.51,0.24999999999999997
MG Hector,Petrol,Dealer,Automatic,First Owner,250Nm@ 1600-3600rpm,0.9729729729729755,0.008048868523708978,0.3323809523809524,0.2775167785234899,0.3525,0.24999999999999997
Honda City,Petrol,Dealer,Automatic,First Owner,145Nm@ 4600rpm,0.9189189189189193,0.017369101563426727,0.42857142857142855,0.2929530201342282,0.294,0.24999999999999997
Toyota Corolla,Petrol,Dealer,Automatic,First Owner,173Nm@ 4000rpm,0.8108108108108141,0.016521807650725112,0.33999999999999997,0.39395973154362407,0.345075,0.24999999999999997
Volvo XC40,Diesel,Dealer,Automatic,First Owner,400Nm,0.9459459459459438,0.009319809392761398,0.42857142857142855,0.45134228187919456,0.47500000000000003,0.24999999999999997
Audi Q7,Diesel,Dealer,Automatic,First Owner,550Nm@ 1750-2750rpm,0.8648648648648631,0.022452865039636408,0.28738095238095235,0.7862416107382549,0.6035,0.41666666666666663
Maruti Ciaz,Diesel,Dealer,Manual,First Owner,200Nm@ 1750rpm,0.8648648648648631,0.01694545460707592,0.6240476190476191,0.2093959731543624,0.22125,0.24999999999999997
Mercedes-Benz S-Class,Diesel,Dealer,Automatic,First Owner,490Nm@ 1600rpm,0.9189189189189193,0.019910983301531567,0.3214285714285714,0.7929530201342281,0.705,0.24999999999999997
BMW 5,Petrol,Dealer,Automatic,Second Owner,250 Nm at 2750 rpm,0.7297297297297334,0.030586886601571897,0.2571428571428572,0.6285234899328859,0.375,0.24999999999999997
Hyundai Elantra,Petrol,Dealer,Manual,First Owner,177.5Nm@ 4700rpm,0.8918918918918948,0.021139559474948905,0.3880952380952381,0.3936241610738255,0.36875,0.24999999999999997
